TA,Key,Indication
Ophthalmology,Diffuse Posterior Uveitis,Diffuse Posterior Uveitis
Oncology,Breast Tumor,Breast Tumor
Dermatology,Nevus,Nevus
Infectious Disease,Systemic Cryptococcosis,Systemic Cryptococcosis
Infectious Disease,Viral Meningitis,Viral Meningitis
Oncology,Febrile Granulocytopenic Cancer,Febrile Granulocytopenic Cancer
Infectious Disease,Klebsiella pneumoniae Infections,Klebsiella pneumoniae Infections
Infectious Disease,Haemophilus ducreyi Infections,Haemophilus ducreyi Infections
Hematological Disorders,Thrombophilia,Thrombophilia
Cardiovascular,Portal Hypertension Gastropathy,Portal Hypertension Gastropathy
Ophthalmology,Irido Corneal Endothelial Syndrome,Irido Corneal Endothelial Syndrome
Ophthalmology,Chronic Blepharoconjunctivitis,Chronic Blepharoconjunctivitis
Infectious Disease,Cutaneous Cryptococcosis,Cutaneous Cryptococcosis
Infectious Disease,Toxocariasis,Toxocariasis
Cardiovascular,Premature Ventricular Complexes,Premature Ventricular Complexes
Infectious Disease,Erysipeloid,Erysipeloid
Oncology,Urethral Cancer,Urethral Cancer
Infectious Disease,Klebsiella Infections,Klebsiella Infections
Oncology,Mammary Ductal Carcinoma,Mammary Ductal Carcinoma
Cardiovascular,Tricuspid Atresia,Tricuspid Atresia
Women's Health,Primary Anovulation,Primary Anovulation
Ear Nose Throat Disorders,Vestibulocochlear Diseases,Vestibulocochlear Diseases
Infectious Disease,Microsporidiosis,Microsporidiosis
Central Nervous System,Renal Pain,Renal Pain
Oncology,Myeloid Metaplasia,Myeloid Metaplasia
Gastrointestinal,Reflux Dyspepsia,Reflux Dyspepsia
Cardiovascular,Renal Artery Stenosis,Renal Artery Stenosis
Musculoskeletal Disorders,Ganglion Cysts,Ganglion Cysts
Cardiovascular,Sick Sinus Syndromes,Sick Sinus Syndromes
Infectious Disease,Legionella Infections,Legionella Infections
Infectious Disease,Tick-Borne Relapsing Fever,Tick-Borne Relapsing Fever
Ophthalmology,Neisseria Neonatal Conjunctivitis,Neisseria Neonatal Conjunctivitis
Infectious Disease,Infections Due To Penicillin-G-Susceptible Microorganisms,Infections Due To Penicillin-G-Susceptible Microorganisms
Central Nervous System,Spastic Diplegia Cerebral Palsy,Spastic Diplegia Cerebral Palsy
Central Nervous System,Schizophreniform Disorder,Schizophreniform Disorder
Oncology,Primary Myelofibrosis,Primary Myelofibrosis
Infectious Disease,Borrelia Infections,Borrelia Infections
Infectious Disease,Poxviridae Infections,Poxviridae Infections
Central Nervous System,Progressive Muscular Atrophy,Progressive Muscular Atrophy
Infectious Disease,Western Equine Encephalitis,Western Equine Encephalitis
Oncology,Secondary CNS Lymphoma,Secondary CNS Lymphoma
Oncology,Hepatobiliary System Tumor,Hepatobiliary System Tumor
Genetic Disorders,Phelan-McDermid Syndrome,Phelan-McDermid Syndrome
Genetic Disorders,Very Long -Chain Acyl-CoA Dehydrogenase Deficiency,Very Long -Chain Acyl-CoA Dehydrogenase Deficiency
Ophthalmology,Chemical Conjunctivitis,Chemical Conjunctivitis
Oncology,Colon Tumor,Colon Tumor
Oncology,Neoplastic Syndrome,Neoplastic Syndrome
Oncology,Intestinal Cancer,Intestinal Cancer
Infectious Disease,Systemic Histoplasmosis,Systemic Histoplasmosis
Infectious Disease,Clostridium Infections,Clostridium Infections
Infectious Disease,Campylobacter fetus Infections,Campylobacter fetus Infections
Infectious Disease,Symptomatic Bacteriuria,Symptomatic Bacteriuria
Infectious Disease,Colorado Tick Fever,Colorado Tick Fever
Infectious Disease,Klebsiella granulomatis Infections,Klebsiella granulomatis Infections
Oncology,Locally Recurrent Or Locoregional Solid Malignancies,Locally Recurrent Or Locoregional Solid Malignancies
Respiratory,Respiratory Tract Inflammatory Disorders,Respiratory Tract Inflammatory Disorders
Infectious Disease,Francisella tularensis Infections,Francisella tularensis Infections
Infectious Disease,Rickettsia rickettsii Infections,Rickettsia rickettsii Infections
Oncology,Sacrococcygeal Teratoma,Sacrococcygeal Teratoma
Infectious Disease,Disseminated Zygomycosis,Disseminated Zygomycosis
Cardiovascular,Mitral Valve Prolapse,Mitral Valve Prolapse
Infectious Disease,Swine Influenza,Swine Influenza
Gastrointestinal,Ulcer Dyspepsia,Ulcer Dyspepsia
Central Nervous System,Wernicke-Korsakoff Syndrome,Wernicke-Korsakoff Syndrome
Oncology,Pilocytic Astrocytoma,Pilocytic Astrocytoma
Oncology,Ureter Cancer,Ureter Cancer
Infectious Disease,St Louis Encephalitis,St Louis Encephalitis
Infectious Disease,Paramyxoviridae Infections,Paramyxoviridae Infections
Oncology,Malignant Fibrous Histiocytoma of Soft Tissue,Malignant Fibrous Histiocytoma of Soft Tissue
Oncology,Ductal Carcinoma,Ductal Carcinoma
Infectious Disease,Spirillary Rat Bite Fever,Spirillary Rat Bite Fever
Oncology,Signet Ring Cell Squamous Cell Carcinoma,Signet Ring Cell Squamous Cell Carcinoma
Central Nervous System,Olfactory Disorders,Olfactory Disorders
Infectious Disease,Tinea Faciei,Tinea Faciei
Infectious Disease,Louse-Borne Relapsing Fever,Louse-Borne Relapsing Fever
Infectious Disease,Scrub Typhus,Scrub Typhus
Dermatology,Exanthema,Exanthema
Cardiovascular,Hypertensive Cardiomyopathy,Hypertensive Cardiomyopathy
Respiratory,Chronic Pharyngitis,Chronic Pharyngitis
Infectious Disease,Streptobacillus moniliformis Infections,Streptobacillus moniliformis Infections
Hematological Disorders,Secondary Idiopathic Thrombocytopenic Purpura,Secondary Idiopathic Thrombocytopenic Purpura
Ophthalmology,Pigment Glaucoma,Pigment Glaucoma
Genetic Disorders,X-Linked Ichthyosis,X-Linked Ichthyosis
Musculoskeletal Disorders,Pseudarthrosis,Pseudarthrosis
Infectious Disease,West Nile Virus Infections,West Nile Virus Infections
Oncology,Supratentorial Glioma,Supratentorial Glioma
Oncology,Low-Grade Astrocytoma,Low-Grade Astrocytoma
Infectious Disease,Streptobacillary Rat Bite Fever,Streptobacillary Rat Bite Fever
Infectious Disease,Vibrio cholerae Infections,Vibrio cholerae Infections
Oncology,Paranasal Sinus And Nasal Cavity Cancer,Paranasal Sinus And Nasal Cavity Cancer
Oncology,Pancreatic Cystadenocarcinoma,Pancreatic Cystadenocarcinoma
Infectious Disease,Bartonella Infections,Bartonella Infections
Cardiovascular,Mitral Valve Diseases,Mitral Valve Diseases
Oncology,Peripheral Nerve Sheath Tumor,Peripheral Nerve Sheath Tumor
Dermatology,Hypertrichosis,Hypertrichosis
Oncology,Pharyngeal Neoplasm,Pharyngeal Neoplasm
Infectious Disease,Mite Infestations,Mite Infestations
Respiratory,Respiratory Hypersensitivity,Respiratory Hypersensitivity
Infectious Disease,Coxiella Infections,Coxiella Infections
Oncology,Spindle Cell Squamous Cell Carcinoma,Spindle Cell Squamous Cell Carcinoma
Oncology,Pancreatic Tumor,Pancreatic Tumor
Infectious Disease,Rhinocerebral Zygomycosis,Rhinocerebral Zygomycosis
Infectious Disease,Ureaplasma urealyticum Infections,Ureaplasma urealyticum Infections
Gastrointestinal,Steatohepatitis,Steatohepatitis
Hematological Disorders,Unspecified Hematological Disorders,Unspecified Hematological Disorders
Oncology,Lymphangiosarcoma,Lymphangiosarcoma
Oncology,Rectal Tumor,Rectal Tumor
Infectious Disease,Treponema Infections,Treponema Infections
Infectious Disease,Brucella Infections,Brucella Infections
Infectious Disease,Listeria monocytogenes Infections,Listeria monocytogenes Infections
Respiratory,Tracheobronchial Amyloidosis,Tracheobronchial Amyloidosis
Infectious Disease,Rickettsiaceae Infections,Rickettsiaceae Infections
Immunology,Unspecified Immunological Disorders,Unspecified Immunological Disorders
Oncology,Pleomorphic Liposarcoma,Pleomorphic Liposarcoma
Infectious Disease,Treponema pallidum Infections,Treponema pallidum Infections
Infectious Disease,Neisseriaceae Infections,Neisseriaceae Infections
Oncology,Throat Cancer,Throat Cancer
Oncology,Well Differentiated Liposarcoma,Well Differentiated Liposarcoma
Infectious Disease,Vibrio Infections,Vibrio Infections
Metabolic Disorders,Diabetes,Type 1 Diabetes
Oncology,Lymphomas,Peripheral T-Cell Lymphomas
Oncology,Carcinoma,Hepatocellular Carcinoma
Central Nervous System,Seizure,Partial Seizure
Ophthalmology,Hypertension,Ocular Hypertension
Metabolic Disorders,Diabetes,Type 2 Diabetes
Respiratory,Fibrosis,Cystic Fibrosis
Infectious Disease,Infections,Pseudomonas aeruginosa Infections
Male Health,Dysfunction,Erectile Dysfunction
Respiratory,Rhinitis,Allergic Rhinitis
Immunology,Allergy,House Dust Mite Allergy
Genito Urinary System And Sex Hormones,Disease,Kidney Disease
Central Nervous System,Disease,Parkinson's Disease
Hematological Disorders,Anemia,Iron Deficiency Anemia
Toxicology,Neutropenia,Chemotherapy Induced Neutropenia
Genetic Disorders,Disorders,Urea Cycle Disorders
Infectious Disease,Infections,"Influenza A Virus, H1N1 Subtype Infections"
Central Nervous System,Sclerosis,Secondary Progressive Multiple Sclerosis
Gastrointestinal,Syndrome,Irritable Bowel Syndrome
Cardiovascular,Hypertension,Pulmonary Arterial Hypertension
Genetic Disorders,Dystrophy,Duchenne Muscular Dystrophy
Women's Health,Vaginitis,Atrophic Vaginitis
Genetic Disorders,Deficiency,Alpha-1 Antitrypsin Deficiency
Genetic Disorders,Deficiency,Primary Immune Deficiency
Infectious Disease,Influenza,Avian Influenza
Women's Health,Contraception,Female Contraception
Genetic Disorders,Disease,Fabry Disease
Immunology,Angioedema,Hereditary Angioedema
Oncology,Cancer,Bile Duct Cancer
Hematological Disorders,Disease,Anemia in Chronic Kidney Disease
Oncology,Leukemia,Acute Myelocytic Leukemia
Gastrointestinal,Colitis,Ulcerative Colitis
Oncology,Cancer,Metastatic Colorectal Cancer
Oncology,Cancer,Non-Small Cell Lung Cancer
Oncology,Cancer,Epithelial Ovarian Cancer
Oncology,Cancer,Colorectal Cancer
Women's Health,Infertility,Women Infertility
Central Nervous System,Sclerosis,Amyotrophic Lateral Sclerosis
Oncology,Cancer,Non Muscle Invasive Bladder Cancer
Respiratory,Fibrosis,Idiopathic Pulmonary Fibrosis
Immunology,Psoriasis,Plaque Psoriasis
Ophthalmology,Rhino-Conjunctivitis,Allergic Rhino-Conjunctivitis
Immunology,Allergy,Grass Pollen Allergy
Central Nervous System,Pain,Cancer Pain
Gastrointestinal,Disease,Crohn's Disease
Central Nervous System,Disease,Alzheimer's Disease
Gastrointestinal,Syndrome,Hepatorenal Syndrome
Toxicology,Neuropathy,Chemotherapy Induced Peripheral Neuropathy
Oncology,Carcinoma,Squamous Cell Carcinoma
Cardiovascular,Ischemia,Critical Limb Ischemia
Oncology,Tumor,Solid Tumor
Oncology,Tumor,Gastrointestinal Stromal Tumor
Oncology,Carcinoma,Metastatic Renal Cell Carcinoma
Central Nervous System,Sclerosis,Relapsing Remitting Multiple Sclerosis
Central Nervous System,Pain,Osteoarthritis Pain
Central Nervous System,Pain,Neuropathic Pain
Oncology,Myeloma,Refractory Multiple Myeloma
Hematological Disorders,Disease,Sickle Cell Disease
Oncology,Leukemia,B-Cell Acute Lymphocytic Leukemia
Oncology,Cancer,Triple-Negative Breast Cancer
Oncology,Cancer,Fallopian Tube Cancer
Genetic Disorders,Cystinosis,Nephropathic Cystinosis
Oncology,Sarcoma,Soft Tissue Sarcoma
Oncology,Cancer,Ovarian Cancer
Metabolic Disorders,hypercholesterolemia,Heterozygous familial hypercholesterolemia
Oncology,Cancer,Kidney Cancer
Dermatology,Ulcers,Skin Ulcers
Dermatology,Dermatitis,Atopic Dermatitis
Immunology,Erythematosus,Chronic Cutaneous Lupus Erythematosus
Infectious Disease,Infections,"Influenza A Virus, H5N1 Subtype Infections"
Infectious Disease,Infections,Clostridium difficile Infections
Oncology,Multiforme,Glioblastoma Multiforme
Oncology,Tumor,Hematological Tumor
Oncology,Cancer,Anal Cancer
Oncology,Cancer,Human Papillomavirus Associated Cancer
Metabolic Disorders,Neuropathy,Diabetic Peripheral Neuropathy
Gastrointestinal,Encephalopathy,Hepatic Encephalopathy
Oncology,Cancer,Hormone Refractory Prostate Cancer
Cardiovascular,Stroke,Ischemic Stroke
Oncology,Leukemia,Acute Lymphocytic Leukemia
Oncology,Cancer,Blood Cancer
Immunology,Arthritis,Rheumatoid Arthritis
Central Nervous System,Disorder,Bipolar Disorder
Oncology,Multiforme,Recurrent Glioblastoma Multiforme
Oncology,Cancer,Cervical Cancer
Infectious Disease,Infections,Respiratory Syncytial Virus Infections
Central Nervous System,Pain,Diabetic Neuropathic Pain
Respiratory,Asthma,Allergic Asthma
Infectious Disease,Infections,"Influenza A Virus, H7N9 Subtype Infections"
Oncology,Leukemia,Chronic Lymphocytic Leukemia
Oncology,Cancer,Colon Cancer
Oncology,Cancer,Gastric Cancer
Oncology,Lymphoma,Diffuse Large B-Cell Lymphoma
Infectious Disease,Infections,Cytomegalovirus Infections
Oncology,Lymphoma,Primary Mediastinal B-Cell Lymphoma
Respiratory,Rhinitis,Seasonal Allergic Rhinitis
Musculoskeletal Disorders,Dystrophy,Oculopharyngeal Muscular Dystrophy
Central Nervous System,Pain,Post-Operative Pain
Oncology,Cancer,Bladder Cancer
Cardiovascular,Infarction,Myocardial Infarction
Infectious Disease,Pneumonia,Streptococcal Pneumonia
Women's Health,Disorder,Female Hypoactive Sexual Desire Disorder
Toxicology,Vomiting,Chemotherapy Induced Nausea and Vomiting
Toxicology,Anemia,Chemotherapy Induced Anemia
Hematological Disorders,Deficiency,Antithrombin III Deficiency
Oncology,Cancer,Pancreatic Cancer
Central Nervous System,Addiction,Opium Addiction
Central Nervous System,Sclerosis,Multiple Sclerosis
Oncology,Cancer,Breast Cancer
Oncology,Lymphoma,Follicular Lymphoma
Central Nervous System,Disorders,Anxiety Disorders
Central Nervous System,Pain,Visceral Pain
Oncology,Lymphoma,B-Cell Non-Hodgkin Lymphoma
Cardiovascular,Disease,Cardiovascular Disease
Gastrointestinal,Esophagitis,Reflux Esophagitis
Infectious Disease,Pneumonia,Community Acquired Pneumonia
Cardiovascular,Stroke,Acute Ischemic Stroke
Oncology,Carcinoma,Renal Cell Carcinoma
Cardiovascular,Fibrillation,Atrial Fibrillation
Immunology,Sclerosis,Systemic Sclerosis
Hormonal Disorders,Deficiency,Growth Hormone Deficiency
Respiratory,Cough,Chronic Cough
Male Health,Hyperplasia,Benign Prostatic Hyperplasia
Metabolic Disorders,Neuropathy,Diabetic Neuropathy
Oncology,Myeloma,Relapsed Multiple Myeloma
Oncology,Myeloma,Multiple Myeloma
Oncology,Melanoma,Metastatic Melanoma
Ophthalmology,Neovascularization,Choroidal Neovascularization
Oncology,Cancer,Hormone Sensitive Breast Cancer
Oncology,Cancer,Hormone-Sensitive Prostate Cancer
Oncology,Cancer,Metastatic Hormone Refractory Prostate Cancer
Oncology,Myelofibrosis,Chronic Idiopathic Myelofibrosis
Oncology,Lymphoma,Mantle Cell Lymphoma
Oncology,Mesothelioma,Malignant Pleural Mesothelioma
Oncology,Metastasis,Bone Metastasis
Oncology,Cancer,Metastatic Prostate Cancer
Oncology,Leukemia,Chronic Myelocytic Leukemia
Oncology,Tumor,Carcinoid Tumor
Oncology,Carcinoma,Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Lymphoma,Anaplastic Large Cell Lymphoma
Oncology,Cancer,Metastatic Transitional Tract Cancer
Oncology,Leukemia,Chronic Myelomonocytic Leukemia
Oncology,Syndrome,Myelodysplastic Syndrome
Oncology,Cancer,Metastatic Pancreatic Cancer
Oncology,Cancer,Follicular Thyroid Cancer
Ophthalmology,Conjunctivitis,Allergic Conjunctivitis
Ophthalmology,Inflammation,Ocular Inflammation
Oncology,Fungoides,Mycosis Fungoides
Oncology,Leukemia,Refractory Chronic Lymphocytic Leukemia
Ophthalmology,Edema,Macular Edema
Ophthalmology,Ulcers,Bacterial Corneal Ulcers
Oncology,Carcinoma,Basal Cell Carcinoma
Oncology,Cancer,Metastatic Breast Cancer
Oncology,Astrocytoma,Anaplastic Astrocytoma
Ophthalmology,Conjunctivitis,Bacterial Conjunctivitis
Oncology,Carcinoma,Merkel Cell Carcinoma
Ophthalmology,Inflammation,Anterior Segment Inflammation
Ophthalmology,Cataract,Age-Related Cataract
Ophthalmology,Ulcers,Allergic Corneal Marginal Ulcers
Oncology,Syndrome,Cancer Anorexia-Cachexia Syndrome
Oncology,Malignancy,Humoral Hypercalcemia of Malignancy
Ophthalmology,Ulcers,Corneal Ulcers
Oncology,Leukemia,Acute Promyelocytic Leukemia
Oncology,Leukemia,B-Cell Chronic Lymphocytic Leukemia
Oncology,Lymphoma,Hodgkin Lymphoma
Ophthalmology,Edema,Cystoid Macular Edema
Ophthalmology,Keratitis,Fungal Keratitis
Oncology,Tumor,Brain Tumor
Ophthalmology,Uveitis,Anterior Uveitis
Ophthalmology,Glaucoma,Closed-Angle Glaucoma
Ophthalmology,Neuritis,Optic Neuritis
Oncology,Leukemia,Hairy Cell Leukemia
Oncology,Sarcoma,Ewing Sarcoma
Ophthalmology,Glaucoma,Acute Glaucoma
Ophthalmology,Keratitis,Bacterial Keratitis
Ophthalmology,Retinopathy,Hypertensive Retinopathy
Oncology,Carcinoma,Adrenocortical Carcinoma
Ophthalmology,Degeneration,Age Related Macular Degeneration
Ophthalmology,Infections,Eye Infections
Oncology,Cancer,Endobronchial Cancer
Oncology,Cancer,Esophageal Cancer
Oncology,Cancer,Prostate Cancer
Other Diseases,Trauma,Brain Trauma
Oncology,Cancer,Metastatic Ovarian Cancer
Ophthalmology,Keratitis,Herpetic Keratitis
Ophthalmology,Blepharoconjunctivitis,Bacterial Blepharoconjunctivitis
Ophthalmology,Blepharitis,Anterior Blepharitis
Oncology,Disease,Leptomeningeal Disease
Oncology,Glioma,Malignant Glioma
Oncology,Lymphoma,Cutaneous T-Cell Lymphoma
Oncology,Cancer,Androgen-Sensitive Prostate Cancer
Oncology,Carcinoma,Bladder Carcinoma
Oncology,Tumor,Biliary Tumor
Ophthalmology,Uveitis,Posterior Uveitis
Oncology,Cancer,Thyroid Cancer
Ophthalmology,Injury,Optic Nerve Injury
Oncology,Cancer,Head And Neck Cancer
Oncology,Lymphoma,Acute Lymphoblastic Lymphoma
Oncology,Cancer,Endometrial Cancer
Genito Urinary System And Sex Hormones,Syndrome,Nephrotic Syndrome
Genetic Disorders,Sclerosis,Tuberous Sclerosis
Genito Urinary System And Sex Hormones,Bladder,Overactive Bladder
Genetic Disorders,Syndrome,Turner Syndrome
Genetic Disorders,Disorders,Glycogen Storage Disorders
Genetic Disorders,Disease,Polycystic Kidney Disease
Genito Urinary System And Sex Hormones,Cystitis,Bacterial Cystitis
Genetic Disorders,Syndrome,Prader-Willi Syndrome
Genetic Disorders,Syndromes,Cryopyrin-Associated Periodic Syndromes
Genetic Disorders,Deficiency,Lysosomal Acid Lipase Deficiency
Genetic Disorders,Ataxia,Spinocerebellar Ataxia
Genito Urinary System And Sex Hormones,Disease,Chronic Kidney Disease
Genetic Disorders,Vulgaris,Ichthyosis Vulgaris
Genetic Disorders,Hemochromatosis,Primary Hemochromatosis
Genito Urinary System And Sex Hormones,Enuresis,Nocturnal Enuresis
Genito Urinary System And Sex Hormones,Dysfunction,Neurogenic Bladder Dysfunction
Genito Urinary System And Sex Hormones,Incontinence,Urinary Incontinence
Genetic Disorders,Syndrome,Cockayne Syndrome
Genito Urinary System And Sex Hormones,Infections,Urinary Tract Infections
Genetic Disorders,Ichthyosis,Congenital Ichthyosis
Genetic Disorders,Syndrome,Usher Syndrome
Genetic Disorders,Pemphigus,Benign Familial Pemphigus
Genito Urinary System And Sex Hormones,Incontinence,Stress Urinary Incontinence
Genetic Disorders,Disease,Wilson Disease
Genito Urinary System And Sex Hormones,Nephropathy,IgA Nephropathy
Genetic Disorders,Disease,Chronic Granulomatous Disease
Genetic Disorders,Porphyria,Acute Intermittent Porphyria
Genito Urinary System And Sex Hormones,Cystitis,Drug Induced Cystitis
Genetic Disorders,Deficiency,Acid Sphingomyelinase Deficiency
Genetic Disorders,Deficiency,Adenosine Deaminase Deficiency
Gastrointestinal,Syndrome,Atypical Hemolytic Uremic Syndrome
Gastrointestinal,Ulcer,Duodenal Ulcer
Gastrointestinal,Edema,Hepatic Edema
Gastrointestinal,Peritonitis,Candida Peritonitis
Gastrointestinal,Disorder,Gastric Motility Disorder
Gastrointestinal,Ulcers,Gastric Ulcers
Gastrointestinal,Disease,Chronic Liver Disease
Gastrointestinal,Indigestion,Acid Indigestion
Gastrointestinal,Dyspepsia,Functional Dyspepsia
Gastrointestinal,Gastritis,Atrophic Gastritis
Gastrointestinal,Dyskinesia,Biliary Dyskinesia
Gastrointestinal,Peritonitis,Spontaneous Bacterial Peritonitis
Gastrointestinal,Esophagitis,Corrosive Esophagitis
Gastrointestinal,Diarrhea,Infectious Diarrhea
Gastrointestinal,Fistula,Anal Fistula
Gastrointestinal,Sickness,Motion Sickness
Gastrointestinal,Ulcers,Peptic Ulcers
Gastrointestinal,Bleeding,Gastrointestinal Bleeding
Gastrointestinal,Disease,Biliary Tract Disease
Gastrointestinal,Cirrhosis,Biliary Cirrhosis
Gastrointestinal,Infection,Biliary Tract Infection
Gastrointestinal,Syndrome,Malabsorption Syndrome
Gastrointestinal,Cirrhosis,Liver Cirrhosis
Gastrointestinal,Colitis,Limited/Distal Colitis
Gastrointestinal,Hernia,Lumbar Hernia/Bleichner's Hernia
Gastrointestinal,Vomiting,Post Operative Nausea And Vomiting
Gastrointestinal,Inflammation,Anorectal Inflammation
Gastrointestinal,Hepatitis,Autoimmune Hepatitis
Respiratory,Disease,Chronic Obstructive Pulmonary Disease
Women's Health,Dysmenorrhea,Primary Dysmenorrhea
Toxicology,Poisoning,Iron Poisoning
Respiratory,Bronchitis,Chronic Bronchitis
Respiratory,Rhinitis,Perennial Allergic Rhinitis
Respiratory,Infections,Lower Respiratory Tract Infections
Women's Health,Disorder,Premenstrual Dysphoric Disorder
Respiratory,Infections,Bacterial Respiratory Tract Infections
Respiratory,Syndrome,Neonatal Respiratory Distress Syndrome
Women's Health,Disease,Fibrocystic Breast Disease
Toxicology,Effects,Chemotherapy Effects
Respiratory,Bronchitis,Acute Bronchitis
Women's Health,Disorders,Menopausal Disorders
Respiratory,Congestion,Nasal Congestion
Respiratory,Acidosis,Respiratory Acidosis
Respiratory,Infections,Respiratory Tract Infections
Respiratory,Depression,Respiratory Depression
Respiratory,Rhinitis,Persistant Allergic Rhinitis
Toxicology,Poisoning,Lead Poisoning
Respiratory,Pneumoniae,Lower Respiratory Tract Infections by Streptococcus Pneumoniae
Respiratory,Asthma,Acute Asthma
Respiratory,Infections,Acute Upper Respiratory Tract Infections
Respiratory,Effusion,Malignant Pleural Effusion
Women's Health,Abortion,Induced Abortion
Women's Health,Syndrome,Premenstrual Syndrome
Respiratory,Pharyngitis,Acute Pharyngitis
Respiratory,Cough,Dry Cough
Respiratory,Infection,Viral Respiratory Tract Infection
Respiratory,Syndrome,Meconium Aspiration Syndrome
Women's Health,Disease,Gestational Trophoblastic Disease
Respiratory,Infections,Upper Respiratory Tract Infections
Respiratory,Infection,Acute Lung Infection
Oncology,Tumors,Neuroendocrine Gastroenteropancreatic Tumors
Ophthalmology,Uveitis,Intermediate Uveitis
Ophthalmology,Conjunctivitis,Chlamydial Conjunctivitis
Oncology,Tumor,Pituitary Tumor
Oncology,Carcinoma,Transitional Cell Carcinoma
Ophthalmology,Miosis,Intraoperative Miosis
Ophthalmology,Glaucoma,Open-Angle Glaucoma
Ophthalmology,Neovascularization,Classic Choroidal Neovascularization
Ophthalmology,Occlusion,Retinal Vascular Occlusion
Ophthalmology,Keratoconjunctivitis,Atopic Keratoconjunctivitis
Oncology,Cancer,Medullary Thyroid Cancer
Ophthalmology,Blepharoconjunctivitis,Acute Blepharoconjunctivitis
Ophthalmology,Conjunctivitis,Chlamydia Neonatal Conjunctivitis
Ophthalmology,Degeneration,Macular Degeneration
Ophthalmology,Conjunctivitis,Neonatal Conjunctivitis
Ophthalmology,Edema,Corneal Edema
Ophthalmology,Occlusion,Central Retinal Vein Occlusion
Oncology,Adenomas,Multiple Endocrine Adenomas
Ear Nose Throat Disorders,Sinusitis,Acute Bacterial Sinusitis
Ear Nose Throat Disorders,Disease,Meniere Disease
Ear Nose Throat Disorders,Rhinitis,Vasomotor Rhinitis
Ear Nose Throat Disorders,Tonsillitis,Acute Tonsillitis
Ear Nose Throat Disorders,Edema,Laryngeal Edema
Ear Nose Throat Disorders,Disorders,Labyrinth Disorders
Ear Nose Throat Disorders,Sinusitis,Maxillary Sinusitis
Ear Nose Throat Disorders,Rhinitis,Infectious Rhinitis
Dermatology,Infections,Skin And Soft Tissue Infections
Dermatology,Dermatitis,Contact Dermatitis
Dermatology,Vulgaris,Acne Vulgaris
Dermatology,Sores,Bed Sores
Dermatology,Ulcers,Pressure Ulcers
Dermatology,Ulcers,Dermal Ulcers
Dermatology,Multiforme,Erythema Multiforme
Dermatology,Pemphigoid,Bullous Pemphigoid
Dermatology,Disorders,Acne And Related Disorders
Dermatology,Infections,Skin Infections
Dermatology,Alopecia,Androgenic Alopecia
Dermatology,Purpura,Actinic Purpura
Dermatology,Ulcers,Leg Ulcers
Dermatology,Ulcers,Arterial Leg Ulcers
Dermatology,Disorders,Dermatological Disorders
Infectious Disease,Warts,Genital Warts
Infectious Disease,Infections,Epstein-Barr Virus Infections
Infectious Disease,Infections,Rotavirus Infections
Infectious Disease,Meningitis,Bacterial Meningitis
Infectious Disease,Infections,Unspecified Influenza Virus Infections
Infectious Disease,Abscess,Abdominal Abscess
Infectious Disease,Candidiasis,Oropharyngeal Candidiasis
Infectious Disease,Syndrome,HIV Wasting Syndrome
Infectious Disease,Infections,Influenzavirus A Infections
Infectious Disease,Pneumonia,Bacterial Pneumonia
Infectious Disease,Infections,Hospital-Acquired Infections
Infectious Disease,Encephalitis,Japanese Encephalitis
Infectious Disease,Candidiasis,Cutaneous Candidiasis
Infectious Disease,Fever,Paratyphoid Fever
Infectious Disease,Encephalitis,Herpes Simplex Encephalitis
Infectious Disease,Infections,Simplexvirus Infections
Infectious Disease,Infections,Fungal Infections
Infectious Disease,Pneumonia,Idiopathic Interstitial Pneumonia
Infectious Disease,Tuberculosis,Pulmonary Tuberculosis
Infectious Disease,Infections,Haemophilus Infections
Infectious Disease,Septicaemia,Escherichia Coli Septicaemia
Infectious Disease,Infections,AIDS-Related Opportunistic Infections
Infectious Disease,Infections,Bacterial Infections
Infectious Disease,Meningitis,Tuberculous Meningitis
Infectious Disease,Sarcoma,Kaposi Sarcoma
Infectious Disease,Amoebiasis,Acute Intestinal Amoebiasis
Infectious Disease,Meningitis,Fungal Meningitis
Infectious Disease,Candidiasis,Chronic Mucocutaneous Candidiasis
Infectious Disease,Pneumonia,Idiopathic Eosinophilic Pneumonia
Infectious Disease,Pneumonia,Community-Acquired Bacterial Pneumonia
Infectious Disease,Infections,Nematodal Infections
Infectious Disease,Onychomycosis,Candidal Onychomycosis
Infectious Disease,Aspergillosis,Allergic Bronchopulmonary Aspergillosis
Infectious Disease,Fever,Yellow Fever
Infectious Disease,Influenza,Pandemic Influenza
Infectious Disease,Candidiasis,Vulvovaginal Candidiasis
Infectious Disease,Influenza,Seasonal Influenza
Infectious Disease,Infections,Zika Virus Infections
Infectious Disease,Infections,Ebolavirus Infections
Infectious Disease,Infections,Viral Infections
Respiratory,Injury,Acute Lung Injury
Male Health,Hyperplasia,Storage Symptoms of Benign Prostatic Hyperplasia
Male Health,Hypogonadism,Male Hypogonadism
Male Health,Hypogonadism,Secondary Hypogonadism
Infectious Disease,Capitis,Tinea Capitis
Infectious Disease,Meningitis,Cryptococcal Meningitis
Infectious Disease,Vaginitis,Trichomonas Vaginitis
Infectious Disease,Amoebiasis,Extraintestinal Amoebiasis
Infectious Disease,Sepsis,Bacterial Sepsis
