Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
Extraordinary Innovations and Emerging Trends in Transplantation and Oncology Co-provided conference with Nebraska Medicine,Oncology,NA,0,United States of America,"Omaha, Nebraska",14-07-2020,15-07-2020,-,1430000,1
Eyeforpharma Barcelona 2020,Ophthalmology,NA,0,Spain,"Barcelona, Barcelona",31-03-2020,02-04-2020,-,5300,1
Eyeforpharma Philadelphia 2020,Ophthalmology,NA,0,United States of America,"Philadelphia, Pennsylvania",15-04-2020,16-04-2020,-,13000,1
Faculty of Neuropsychiatry Annual Conference 2020,Neurology,NA,0,United Kingdom,"London, England",17-09-2020,18-09-2020,-,267000,1
Family Medicine and Dermatology for Primary Care,Dermatology,Dermatology,0,United States of America,"Bay Lake, Florida",05-07-2020,07-07-2020,750,55100000,1
"Family Medicine, Women's Health, and Gynecologic Oncology",Oncology,NA,0,United States of America,"Seattle, Washington",28-08-2020,04-09-2020,-,41600000,1
Family Medicine: A Comprehensive Approach To Clinical Problems 2020,Internal Medicine,NA,0,United States Of America,"Sarasota, Florida",22-06-2020,26-06-2020,949,12500000,1
"Family Nutrition: Epigenetics and Parental Health and Nutrition for the Perinatal Period (Feb, 2020)",Genetic Disorders,NA,0,United States of America,"Spartanburg, South Carolina",22-02-2020,23-02-2020,480,51800,1
"Family Nutrition: Epigenetics and Parental Health and Nutrition for the Perinatal Period (Jan, 2020)",Genetic Disorders,NA,0,United States of America,"Overland Park, Kansas",11-01-2020,12-01-2020,480,39800,1
Fetal and Neonatal Neurology: From Basic Science to Clinical Application,Neurology,Neurology,0,France,"Paris, Ile-de-France",22-04-2020,24-04-2020,-,15400000,1
Fibrosis and Tissue Repair: From Molecules and Mechanics to Therapeutic Approaches (Q6),Pathology,Fibrosis,0,Canada,"Victoria, British Columbia",19-02-2020,23-02-2020,1145,2660000,0
Fifteenth Eilat Conference on New Antiepileptic Drugs and Devices (EILAT XV),Neurology,NA,0,Spain,"Madrid, Madrid",07-06-2020,10-06-2020,-,21300,1
Fifth Annual Update in Clinical Neurology,Neurology,Neurology,1,United States of America,"Charleston, South Carolina",28-02-2020,29-02-2020,-,9840000,1
Fifth Annual Wisconsin Review of the San Antonio Breast Cancer Symposium,Oncology,Breast Cancer,0,United States Of America,"Milwaukee, Wisconsin",25-01-2020,NA,-,2230000,1
Florida Blood Cancer Conference 2020,Oncology,Blood Cancer,0,United States of America,"Fort Lauderdale, Florida",29-02-2020,NA,-,2.10E+07,1
Florida Gastroenterologic Society (FGS) Annual Meeting 2020,Gastrointestinal,NA,0,United States Of America,"Orlando, Florida",11-09-2020,13-09-2020,-,10700,1
Florida Society of Clinical Oncology (FLASCO) Fall Session 2020,Oncology,NA,0,United States of America,"Kissimmee, Florida",30-10-2020,31-10-2020,-,4710,1
Florida Society of Clinical Oncology (FLASCO) Spring Session With Business Of Oncology Summit 2020,Oncology,NA,0,United States of America,"Kissimmee, Florida",03-04-2020,04-04-2020,-,3590,1
Florida Society of Pathologists (FSP) Summer Meeting 2020,Pathology,NA,0,United States of America,"Manalapan, Florida",18-07-2020,19-07-2020,-,54800,1
Florida Society of Pathologists 46th Annual Pathology Conference,Pathology,NA,0,United States of America,"Orlando, Florida",14-02-2020,16-02-2020,-,33300,1
FNM 2020 : 4th Federation of Neurogastroenterology & Motility,Gastrointestinal,NA,0,Australia,"Adelaide, South Australia",25-03-2020,28-03-2020,-,592,0
"Focus on Neuropsychiatry Solving Clinical Challenges, Improving Patient Care",Neurology,NA,0,United States of America,"Arlington, Virginia",05-06-2020,06-06-2020,-,2880000,1
"Focused Cardiac Ultrasound Workshop (Apr 04 - 05, 2020)",Cardiology,NA,0,Australia,"Melbourne, Victoria",04-04-2020,05-04-2020,1795,1370000,0
"Focused Cardiac Ultrasound Workshop (Aug 08 - 09, 2020)",Cardiology,NA,0,Australia,"Melbourne, Victoria",08-08-2020,09-08-2020,1795,1370000,0
"Focused Cardiac Ultrasound Workshop (Aug 22 - 23, 2020)",Cardiology,NA,0,Australia,"Brisbane, Queensland",22-08-2020,23-08-2020,1795,1850000,0
"Focused Cardiac Ultrasound Workshop (Feb 08 - 09, 2020)",Cardiology,NA,0,Australia,"Melbourne, Victoria",08-02-2020,09-02-2020,1795,1350000,0
"Focused Cardiac Ultrasound Workshop (Mar 07 - 08, 2020)",Cardiology,NA,0,Australia,"Hobart, Tasmania",07-03-2020,08-03-2020,1795,1510000,0
"Focused Cardiac Ultrasound Workshop (Mar 21 - 22, 2020)",Cardiology,NA,0,New Zealand,"Auckland, Auckland",21-03-2020,22-03-2020,1795,2280000,0
"Focused Cardiac Ultrasound Workshop (Mar 28 - 29, 2020)",Cardiology,NA,0,Australia,"Noosa Heads, Queensland",28-03-2020,29-03-2020,1795,2070000,0
"Focused Cardiac Ultrasound Workshop (May 16 - 17, 2020)",Cardiology,NA,0,Australia,"Sydney, New South Wales",16-05-2020,17-05-2020,1795,2290000,0
"Focused Cardiac Ultrasound Workshop (Nov 14 - 15, 2020)",Cardiology,NA,0,New Zealand,"Auckland, Auckland",14-11-2020,15-11-2020,1795,1820000,0
"Focused Cardiac Ultrasound Workshop (Nov 28 - 29, 2020)",Cardiology,NA,0,Australia,"Melbourne, Victoria",28-11-2020,29-11-2020,1795,2170000,0
"Focused Cardiac Ultrasound Workshop (Oct 03 - 04, 2020)",Cardiology,NA,0,Australia,"Cairns, Queensland",03-10-2020,04-10-2020,1795,1530000,0
"Focused Cardiac Ultrasound Workshop (Oct 17 - 18, 2020)",Cardiology,NA,0,Australia,"Sydney, New South Wales",17-10-2020,18-10-2020,1795,1260000,0
"Focused Cardiac Ultrasound Workshop (Sep 19 - 20, 2020)",Cardiology,NA,0,Australia,"Perth, Western Australia",19-09-2020,20-09-2020,1795,2600000,0
Focused Specialty Summit: Therapeutic Milestones in Parkinson‚ÄövÑv¥s Disease,Neurology,NA,0,Italy,"Venice, Veneto",18-03-2020,20-03-2020,-,6,1
Forensic Analysis of Human DNA Gordon Research Seminar (GRS) 2020,Genetic Disorders,NA,0,United States of America,"West Dover, Vermont",20-06-2020,21-06-2020,-,41900,1
Foundation for Research and Education in Esophageal and Foregut Disease 2020 Course,Gastrointestinal,NA,0,United States of America,"Maui, Hawaii",06-02-2020,11-02-2020,-,718000,1
Foundations in Cardiology Practice 2020,Internal Medicine,NA,0,United States Of America,"Scottsdale, Arizona",14-05-2020,16-05-2020,-,4200000,1
Foundations in Oncology for Speech and Language Therapists Conference 2020,Oncology,NA,0,United Kingdom,"London, England",12-03-2020,NA,-,3510000,1
"Four Week Radiologic Pathology Correlation Course (Jul 27 - Aug 21, 2020)",Pathology,NA,0,United States Of America,"Silver Spring, Maryland",27-07-2020,21-08-2020,-,1270000,1
"Four Week Radiologic Pathology Correlation Course (Oct 19 - Nov 13, 2020)",Pathology,NA,0,United States Of America,"Silver Spring, Maryland",19-10-2020,13-11-2020,-,1020000,1
"Four Week Radiologic Pathology Correlation Course (Sep 14 - Oct 09, 2020)",Pathology,NA,0,United States Of America,"Silver Spring, Maryland",14-09-2020,09-10-2020,-,857000,1
Fourth Annual HITEC: Hopkins International Therapeutic Endoscopy Course,Gastrointestinal,NA,0,United States of America,"Baltimore, Maryland",01-04-2020,03-04-2020,-,40600,1
Fragile X and Autism-Related Disorders Gordon Research Conference (GRC) 2020,Genetic Disorders,Autism,0,Italy,"Lucca, Tuscany",31-05-2020,05-06-2020,-,13400,1
Fragile X and Autism-Related Disorders Gordon Research Seminar (GRS) 2020,Genetic Disorders,Autism,0,Italy,"Lucca, Tuscany",30-05-2020,31-05-2020,-,37500,1
Frank Riddick Diabetes Institute Symposium,Internal Medicine,Diabetes,0,United States Of America,"New Orleans, Louisiana",25-01-2020,NA,-,265000,1
Frankfurt Cancer Conference,Oncology,NA,0,NA,NA,NA,NA,-,5850000,0
French Language Neurology Days / Journees de Neurologie de Langue Francaise (JNLF) Lyon 2020,Neurology,Neurology,0,France,"Lyon, Auvergne-Rhone-Alpes",07-04-2020,10-04-2020,-,56,1
French Society of Neurology / ABN Joint Meeting 2020,Neurology,Neurology,0,France,"Lyon, Auvergne-Rhone-Alpes",07-04-2020,08-04-2020,-,87100,1
Frontiers in CardioVascular Biology (FCVB) 2020,Cardiology,Cardiovascular,0,Hungary,"Budapest, Budapest",24-04-2020,26-04-2020,-,11100,1
Functional Medicine Advanced Practice Modules¬¨vÜ(APM) Cardiometabolic 2020,Cardiology,NA,0,United States of America,"Palm Springs, California",30-01-2020,01-02-2020,2100,938,1
Gastroenterology & Hepatology Conference for the Primary Care Provider 2020,Internal Medicine,NA,1,United States of America,"Orlando, Florida",24-01-2020,26-01-2020,610,70800000,1
Gastroenterology and Hepatology for Primary Care,Gastrointestinal,NA,0,United States of America,"Fort Lauderdale, Florida",26-01-2020,02-02-2020,895,1.30E+07,1
Gastrointestinal Cancers Symposium 2020,Oncology,Gastrointestinal,0,United States,San Francisco,23-01-2020,25-01-2020,-,531000,1
Gene Regulation: From Mechanisms to Disease (J3),Genetic Disorders,NA,0,United States of America,"Keystone, Colorado",26-01-2020,30-01-2020,1045,359000,1
Gene Therapy for Blood Disorders 2020,Genetic Disorders,NA,1,United States of America,"Boston, Massachusetts",03-03-2020,05-03-2020,3646,17500000,1
Genitourinary Cancers Symposium,Oncology,NA,0,United States,San Francisco,13-02-2020,15-02-2020,-,291000,1
Genomic Instability Gordon Research Conference (GRC) 2020,Genetic Disorders,NA,0,China,"Kowloon, Hong Kong",02-08-2020,07-08-2020,-,35200,0
Genomic Instability Gordon Research Seminar (GRS) 2020,Oncology,NA,0,China,"Kowloon, Hong Kong",01-08-2020,02-08-2020,-,33700,0
GenScript Biotech Global Forum,Genetic Disorders,NA,0,United States Of America,"San Francisco, California",14-01-2020,NA,300,16900,1
Georgia Urological Association (GUA) Annual Fall Meeting 2020,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Glynn Isles, Georgia",17-09-2020,20-09-2020,-,279000,1
"Geriatric Medicine for Primary Care: Geri/Neuro/Psych (Sep 04 - 06, 2020)",Neurology,NA,0,United States of America,"Orlando, Florida",04-09-2020,06-09-2020,895,83700,1
"Geriatric Medicine for Primary Care: Geri/Psych/Rheum (Jul 03 - 05, 2020)",Rheumatology,NA,0,United States of America,"West Yellowstone, Montana",03-07-2020,05-07-2020,895,43300,1
"Geriatric Neurology in the Medically Complex Client (Oct 23 - 24, 2020)",Neurology,Neurology,0,United States of America,"Stamford, Connecticut",23-10-2020,24-10-2020,435,189000,1
Geriatric Neurology in the Medically Complex Client 2020,Neurology,Neurology,0,United States of America,"Denver, Colorado",28-03-2020,29-03-2020,435,240000,1
German Ophthalmology Society / Deutsche Ophthalmologische Gesellschaft (DOG) e.V. 2020 Congress,Ophthalmology,Ophthalmology,0,Germany,"Berlin, Berlin",08-10-2020,11-10-2020,-,661,1
"GetWaiveredTX Free Buprenorphine Waiver Training - Austin, TX",Internal Medicine,NA,0,United States of America,"Austin, Texas",21-01-2020,NA,-,20700,1
GI Roundtable (GIRT) 2020,Gastrointestinal,NA,0,United States Of America,"Denver, Colorado",03-04-2020,04-04-2020,845,53000,1
GI-Oncology 2020 - 16th Interdisciplinary Update,Oncology,NA,0,Germany,"Wiesbaden, Hessen",06-06-2020,NA,-,359000,1
Glasgow Neuroradiology Workshop for Stroke Physicians,Neurology,Stroke,0,United Arab Emirates,"Dubai, Dubai",18-01-2020,NA,-,1560000,0
Glaucoma 360 New Horizons Forum 2020,Ophthalmology,Glaucoma,0,United States Of America,"San Francisco, California",07-02-2020,NA,-,498000,1
Glaucoma Symposium 2020,Ophthalmology,Glaucoma,1,United States of America,"Woodinville, Washington",11-01-2020,NA,275,254000,1
Global Conference on Brain and Neurological Disorders (GCBN 2020),Neurology,NA,0,United Arab Emirates,"Dubai, Dubai",13-04-2020,15-04-2020,-,29100,0
Global Conference on Brain Disorders & Therapeutics,Neurology,NA,0,France,"Paris, Ile-de-France",17-09-2020,18-09-2020,-,24100000,1
"Global Conference on Cardiovascular Medicine, Cardiology and Stroke- GCCMCS-2020",Cardiology,"Cardiovascular,Stroke",0,United States of America,"Bentonville, Arkansas",04-06-2020,05-06-2020,-,7,1
Global Conference on Pharma Industry and Medical Devices (GCPIMD) - 2020,Pathology,NA,0,Singapore,"Singapore, Singapore",03-01-2020,04-01-2020,499,32300,0
Global Experts Meet on Neurology and Neuropsychiatry,Neurology,Neurology,0,Japan,Kyoto,30-03-2020,31-03-2020,-,463000,0
Global NASH Congress 2020,Internal Medicine,NA,1,United Kingdom,"London, England",10-02-2020,11-02-2020,-,2290000,1
Global Summit On Diabetes & Endocrinology 2020,Metabolic Disorders,Diabetes,0,Thailand,Bangkok,27-01-2020,28-01-2020,-,18200000,0
GP Update Refresher Course 2020,Internal Medicine,NA,0,United Kingdom,"London, England",16-01-2020,19-01-2020,-,347000,1
GTH Congress,Cardiology,NA,0,Germany,Bremen,18-02-2020,21-02-2020,-,817000,1
GUILD Conference 2020,Gastrointestinal,NA,1,United States of America,"Maui, Hawaii",16-02-2020,19-02-2020,595,11500000,1
Hawaiian Eye and Retina 2020 Meeting,Ophthalmology,NA,0,United States Of America,"Kauai, Hawaii",18-01-2020,24-01-2020,1715,854000,1
Head and Neck Pathology: Top to Bottom Training to Avoid the Ups and Downs,Pathology,NA,0,United States of America,"Palm Springs, California",30-05-2020,31-05-2020,999,4150000,1
Headache Cooperative of New England (HCNE) Stowe 2020 Symposium,Neurology,NA,0,United States Of America,"Stowe, Vermont",28-02-2020,29-02-2020,-,110,1
Headache: The Highs & Lows of CSF Pressure Problems 2020,Neurology,NA,0,United States Of America,"Raleigh, North Carolina",21-03-2020,22-03-2020,545,1330000,1
Health Delivery and Technology in Today's Diabetes Care 2020,Metabolic Disorders,Diabetes,0,United States Of America,"Plymouth, Michigan",04-04-2020,NA,-,1.90E+07,1
Healthcare League: Healthcare Technologies & Public Health Conference 2020,Genito Urinary System And Sex Hormones,NA,0,Portugal,"Lisbon, Lisbon",24-02-2020,26-02-2020,-,53300000,1
Heart Congress,Cardiology,NA,0,Spain,Madrid,26-03-2020,27-03-2020,-,2.49E+08,1
Heart Disease & Women 2020,Cardiology,NA,0,United States of America,"New York City, New York",13-02-2020,NA,-,4.52E+08,1
Heart Failure 2020,Cardiology,NA,0,Spain,"Barcelona, Cataluna",23-05-2020,26-05-2020,-,1.08E+08,1
"Heart Failure Management for NP, PA, and Primary Care Providers 2020",Cardiology,NA,0,United States of America,"Lake Buena Vista, Florida",26-03-2020,28-03-2020,850,3430000,1
Heart Failure Society of America (HFSA) 24th Annual Scientific Meeting,Cardiology,NA,0,United States of America,"Cleveland, Ohio",02-10-2020,05-10-2020,-,1350,1
Heart Failure Up North: Practical Approaches to the Management of Congestive Heart Failure 2020,Cardiology,Congestive Heart Failure,0,United States Of America,"Brainerd, Minnesota",27-06-2020,28-06-2020,-,14500000,1
Heart Rhythm 2020 - 41st Annual Scientific Sessions,Cardiology,NA,0,United States Of America,"San Diego, California",06-05-2020,09-05-2020,-,98700,1
Heart Team - C3 Meeting Vienna 2020,Cardiology,NA,0,Austria,"Vienna, Wien",16-02-2020,18-02-2020,-,427000,1
Hemophilia Federation of America (HFA) Annual Symposium 2020,Hematology,Hemophilia,0,United States Of America,"Baltimore, Maryland",23-04-2020,25-04-2020,-,56300,1
Hemostasis Gordon Research Conference (GRC) 2020,Hematology,Hemostasis,0,United States of America,"Waterville Valley, New Hampshire",02-08-2020,07-08-2020,-,3590,1
"High-Yield Dermatopathology: Best practices, Algorithms, Clues and Approches to Critical Problems in Everyday Practice. Advanced CME Course for Experienced Pathologists, Dermatologists and Dermatopathologists",Dermatology,NA,0,Poland,"Krakow, Malopolskie",13-05-2020,15-05-2020,-,2930,1
Higher-Order Chromatin Architecture in Time and Space (X3),Genetic Disorders,NA,0,Canada,"Whistler, British Columbia",15-03-2020,19-03-2020,1145,87500,0
HIV and Liver Disease 2020,Infectious Disease,NA,0,United States Of America,"Moran, Wyoming",10-09-2020,12-09-2020,250,3020000,1
HIV Pathogenesis and Cure (X6),Pathology,NA,0,United States of America,"Keystone, Colorado",22-03-2020,26-03-2020,1045,57400,1
HIV Vaccines (X5) 2020,Infectious Disease,NA,0,United States of America,"Keystone, Colorado",22-03-2020,26-03-2020,1045,10,1
HIV/AIDS Vaccine For Life 2020,Infectious Disease,NA,0,United Kingdom,"London, England",29-10-2020,30-10-2020,-,8570000,1
"HIV/HCV Mini-Residency (Apr 08 - 10, 2020)",Infectious Disease,NA,0,United States of America,"Chicago, Illinois",08-04-2020,10-04-2020,-,209000,1
"HIV/HCV Mini-Residency (Feb 05 - 07, 2020)",Infectious Disease,NA,0,United States of America,"Chicago, Illinois",05-02-2020,07-02-2020,-,201000,1
"HIV/HCV Mini-Residency (Jun 03 - 05, 2020)",Infectious Disease,NA,0,United States of America,"Chicago, Illinois",03-06-2020,05-06-2020,-,384000,1
HIVR4P 2020,Urogenital Diseases,NA,0,South Africa,Cape Town,11-10-2020,15-10-2020,-,21900,0
HOPA's 16th Annual Conference,Oncology,NA,0,United States Of America,"Tampa, Florida",11-03-2020,14-03-2020,-,110000,1
Hormones and Steroids Global Summit,Metabolic Disorders,NA,0,NA,NA,NA,NA,-,1200000,0
Hospital Medicine 2020 (HM20),Internal Medicine,NA,0,United States Of America,"San Diego, California",15-04-2020,18-04-2020,1290,19200,1
Hospital Medicine: Management of the Hospitalized Adult Patient 2020,Internal Medicine,NA,0,United States of America,"Sarasota, Florida",27-01-2020,31-01-2020,949,6450000,1
Hospitalist And Internal Medicine Review And Update: Inpatient And Outpatient Care 2020,Internal Medicine,NA,0,United States Of America,"Sarasota, Florida",06-04-2020,10-04-2020,949,223000,1
How to Diagnose and Treat Lymphoma Course,Oncology,Lymphoma,0,France,"Paris, Ile-de-France",23-10-2020,25-10-2020,-,34800000,1
Human Genetic Variation and Disease Gordon Research Conference (GRC) 2020,Genetic Disorders,NA,0,United States of America,"Hooksett, New Hampshire",31-05-2020,05-06-2020,-,41200,1
Human Genome Meeting (HGM) 2020,Genetic Disorders,NA,0,Australia,"Perth, Western Australia",05-04-2020,08-04-2020,-,34000,0
Human Proteome Organization (HUPO) 2020,Genetic Disorders,NA,0,Sweden,"Stockholm, Stockholm",18-10-2020,22-10-2020,-,17100,1
Hypermobility/Ehlers Danlos Syndrome in Adults & Children: Clinical assessment and management 2020 by NCORE,Rheumatology,NA,0,United Kingdom,"Derby, England",10-01-2020,NA,-,221000,1
IACCCON 2020 - 11th National Annual Conference of Indian Association of Clinical Cardiologists (IACC),Cardiology,NA,0,India,"Vadodara, Gujarat",04-09-2020,06-09-2020,-,77,0
IACR 2020 Scientific Conference,Oncology,NA,0,New Caledonia,Noumea,12-10-2020,15-10-2020,-,36000,1
Iain McGilchrist - The Divided Brain Clinic: The Master & His Emissary - Brisbane,Neurology,NA,0,Australia,"Brisbane, Queensland",30-03-2020,31-03-2020,880,18000,0
Iain McGilchrist - The Divided Brain Clinic: The Master & His Emissary - Melbourne,Neurology,NA,0,Australia,"Melbourne, Victoria",23-03-2020,24-03-2020,880,18000,0
Iain McGilchrist - The Divided Brain Clinic: The Master & His Emissary - Sydney,Neurology,NA,0,Australia,"Sydney, New South Wales",26-07-2020,27-07-2020,880,18000,0
IASLC 2020 World Conference on Lung Cancer (WCLC 2020),Oncology,Lung Cancer,1,Singapore,NA,NA,NA,-,8630,0
IBANGS/FENS Genes Brain and Behavior Satellite,Genetic Disorders,NA,0,United Kingdom,"Glasgow, Scotland",11-07-2020,NA,-,259000,1
ICBD 2020: 9th International Conference on Birth Defects and Disabilities in the Developing World,Genetic Disorders,NA,0,Sri Lanka,"Colombo, Western Province",23-02-2020,26-02-2020,450,401,0
ICCA Stroke 2020 - Acute Stroke Interventions and Carotid Stenting,Neurology,Stroke,0,Germany,"Friedrichsdorf, Hessen",20-03-2020,21-03-2020,-,3460,1
ICCN 2020 - International Conference on Cancer Nursing,Oncology,NA,0,United Kingdom,"London, England",29-03-2020,01-04-2020,-,32100,1
ICCS 2020 | 35th Annual Clinical Cytometry Meeting and Course,Pathology,NA,0,United States Of America,"New Orleans, Louisiana",25-09-2020,29-09-2020,-,228000,1
ICFSR 2020 - International Conference on Frailty and Sarcopenia Research,Rheumatology,Sarcopenia,0,France,"Toulouse, Occitanie",11-03-2020,13-03-2020,-,2460,1
ICHLD 2020,Gastrointestinal,NA,0,France,Paris,26-03-2020,27-03-2020,-,7.16E+09,1
IDSI 2020: 19th International Symposium on Diabetes,Metabolic Disorders,Diabetes,0,India,"Mumbai, Maharashtra",18-01-2020,19-01-2020,10000,17400,0
"If You Can't Breathe, You Can't Function - Introductory Course plus TWO days of Intensive LAB (Oct 23 - 25, 2020)",Respiratory,NA,0,United States of America,"Livingston, New Jersey",23-10-2020,25-10-2020,695,469000,1
IFCPC - 2020 - 17th World Congress for Cervical Pathology and Colposcopy,Oncology,NA,0,India,"Hyderabad, Telangana",01-10-2020,04-10-2020,-,568,0
IFNE-JSNE-GLEN-ISNE Hands-on Workshop on Cerebral and Ventricular Neuroendoscopy,Neurology,NA,0,Italy,"Naples, Naples",20-01-2020,24-01-2020,1450,1020,1
IGCS 2020,Oncology,NA,0,Italy,Rome,10-09-2020,13-09-2020,-,25700,1
III International Scientific and Practical Conference,Cardiology,NA,0,Russian Federation,"Vladikavkaz, North Ossetia-Alania",28-04-2020,29-04-2020,-,2.01E+08,0
ILTS 2020 Annual Congress,Gastrointestinal,NA,0,Turkey,Istanbul,06-05-2020,09-05-2020,-,39900,0
Imaging Cancer 2020,Oncology,NA,0,Germany,"Berlin, Berlin",07-09-2020,09-09-2020,-,28200000,1
"Imaging the Pancreas in Diabetes, and Benign and Malignant Exocrine Pancreatic Disease",Metabolic Disorders,Diabetes,0,United States of America,"Bethesda, Maryland",13-01-2020,15-01-2020,-,120000,1
IMCAS Asia 2020,Dermatology,NA,0,Thailand,"Bangkok, Bangkok",19-06-2020,21-06-2020,2090,12800,0
IMCAS World Congress 2020,Dermatology,NA,0,France,"Paris, Ile-de-France",30-01-2020,01-02-2020,1950,37900,1
Immuno-Oncology: BD&L and Investment Forum (2020),Oncology,NA,0,United States Of America,"Chicago, Illinois",29-05-2020,NA,-,807000,1
IMMUNOLOGY 2020,Immunology,Immunology,0,United States,Honolulu,08-05-2020,12-05-2020,-,22100000,1
Imperial Valve and Cardiovascular Course (IVCC) 2020,Cardiology,Cardiovascular,0,United Kingdom,"London, England",24-11-2020,27-11-2020,-,9010,1
Inaugural Miami Cancer Institute Summit of the Americas on Immunotherapies for Hematologic Malignancies,Oncology,NA,0,United States of America,"Miami, Florida",24-01-2020,25-01-2020,-,293000,1
Inborn Errors of Metabolism Drug Development Summit 2020,Genetic Disorders,NA,0,United States of America,"Boston, Massachusetts",10-03-2020,12-03-2020,2349,131000,1
Indian Physicians Congress - 2020,Pathology,NA,0,India,"Bangalore, Karnataka",18-03-2020,20-03-2020,-,5620000,0
Indiana Urologic Association 2020 Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Indianapolis, Indiana",21-02-2020,22-02-2020,-,402000,1
Indo Global Diabetes Summit,Metabolic Disorders,Diabetes,0,NA,NA,NA,NA,-,990000,0
iNeuro-2020: International Neurodisorders and Therapy Conference,Neurology,NA,0,United Kingdom,"London, England",13-08-2020,14-08-2020,799,29300,1
"Infection Prevention and Control - Achieving Best Practice (Dec, 2020)",Infectious Disease,NA,0,Australia,"St leonards, New South Wales",10-12-2020,NA,588,5650000,0
Infectious Disease Medicine for Primary Care 2020,Infectious Disease,NA,1,United States Of America,"Phoenix, Arizona",07-02-2020,09-02-2020,-,38100000,1
Infectious Diseases and Immunizations: A Comprehensive 2020 Update,Infectious Disease,NA,1,Italy,"Venice, Veneto",30-07-2020,08-08-2020,-,18600000,1
"Infectious Diseases for Primary Care (Apr 24 - 26, 2020)",Infectious Disease,NA,0,United States Of America,"Napa, California",24-04-2020,26-04-2020,895,20900000,1
"Infectious Diseases for Primary Care (Aug 07 - 09, 2020)",Infectious Disease,NA,1,United States of America,"Orlando, Florida",07-08-2020,09-08-2020,895,4790000,1
"Infectious Diseases for Primary Care (Nov 06 - 08, 2020)",Infectious Disease,NA,1,United States of America,"Las Vegas, Nevada",06-11-2020,08-11-2020,-,7280000,1
Infectious Diseases in Adults 2020,Internal Medicine,NA,1,United States of America,"Boston, Massachusetts",28-04-2020,02-05-2020,1545,23200000,1
Infectious Diseases Practice Updates 2020,Infectious Disease,NA,1,United States of America,"Kohala Coast, Hawaii",02-03-2020,06-03-2020,-,3.90E+07,1
Infectious Diseases: Adult Issues in the Outpatient and Inpatient Settings 2020,Internal Medicine,NA,0,United States of America,"Longboat Key, Florida",02-03-2020,06-03-2020,949,1060000,1
Infectious Diseases: Adults And Pediatrics Issues,Internal Medicine,NA,0,United States of America,"Sarasota, Florida",20-01-2020,24-01-2020,899,1.01E+08,1
Infertility Course by CUS,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Chicago, Illinois",04-03-2020,NA,-,103000,1
"Inflammation, Microbiota and Cancer (E3)",Oncology,Inflammation,0,Taiwan,"Taipei, Taipei",17-05-2020,21-05-2020,1145,163000,0
Inflammatory bowel disease (IBD) Newcastle Conference,Gastrointestinal,Inflammatory Bowel Disease,0,United Kingdom,"Newcastle upon Tyne, England",13-03-2020,NA,-,98400,1
Innate Killer Summit 2020,Oncology,NA,0,United States Of America,"San Diego, California",24-03-2020,26-03-2020,4498,147000,1
Innovations and New Practices in Internal Medicine 2020,Internal Medicine,NA,0,United States Of America,"Cambridge, Massachusetts",04-05-2020,08-05-2020,1695,41700000,1
Innovations in Cancer Metabolism: Mechanisms to Therapies 2020,Oncology,NA,0,Spain,"Bilbao, Biscay",05-10-2020,08-10-2020,-,2730000,1
INS 2020,Neurology,NA,0,United States,Las Vegas,16-05-2020,19-05-2020,-,5.96E+08,1
INS-IM 2020,Neurology,NA,0,India,"Mumbai, Maharashtra",23-10-2020,25-10-2020,-,3.50E+08,0
Intensive Course in Transcranial Magnetic Stimulation (TMS) (Feb 2020),Neurology,NA,0,United States of America,"Boston, Massachusetts",24-02-2020,28-02-2020,3750,69500,1
"Intensive Course in Transcranial Magnetic Stimulation (TMS) (Jun 15 - 19, 2020)",Neurology,NA,0,United States of America,"Boston, Massachusetts",15-06-2020,19-06-2020,3750,386000,1
Interactive Cardiology Conference 2020,Cardiology,NA,0,United Kingdom,"Glasgow, Scotland",13-03-2020,NA,-,941000,1
Interactive Consultations in Cornea and Refractive Surgery 2020,Ophthalmology,NA,0,United States of America,"Miami, Florida",21-02-2020,NA,-,189000,1
"Interactive Consultations in Cornea, Cataract and Refractive Surgery 2020",Ophthalmology,Cataract,0,United States of America,"Miami, Florida",21-02-2020,22-02-2020,300,425000,1
Interdisciplinary Prostate Cancer Congress,Oncology,Prostate Cancer,0,United States,New York,13-03-2020,14-03-2020,-,360000,1
Interdisciplinary Symposium on Osteoporosis (ISO) 2020,Rheumatology,Osteoporosis,0,United States Of America,"Washington, Dist Of Col",27-05-2020,30-05-2020,975,134000,1
"Intermediate-Advanced Surgical Retina (Feb 10 - 14, 2020)",Ophthalmology,NA,0,Switzerland,"Lugano, Ticino",10-02-2020,14-02-2020,-,434000,1
"Intermediate-Advanced Surgical Retina (Jun 15 - 19, 2020)",Ophthalmology,NA,0,Switzerland,"Lugano, Ticino",15-06-2020,19-06-2020,2400,1380000,1
"Internal Medicine Board Review Course (Mar 05 - 08, 2020)",Internal Medicine,NA,0,United States of America,"Los Angeles, California",05-03-2020,08-03-2020,1299,12100000,1
"Internal Medicine for Primary Care: Addiction/Derm/Gyn (May 15 - 17, 2020)",Internal Medicine,Addiction,0,United States Of America,"Asheville, North Carolina",15-05-2020,17-05-2020,895,757000,1
